| Rank | Title | Year | Status |
| :--- | :--- | :--- | :--- |
| 1 | The Phantom Melody | (1920) | Haven’t seen this one yet. |
| 2 | The Shock | (1923) | Haven’t seen this one yet. |
| 3 | Legally Dead | (1923) | Haven’t seen this one yet. |
| 4 | The Hunchback of Notre Dame | (I) (1923) | Haven’t seen this one yet. |
| 5 | The Untameable | (1923) | Haven’t seen this one yet. |
| 6 | The Phantom of the Opera | (1925) | Haven’t seen this one yet. |
| 7 | The Cat and the Canary | (1927) | Haven’t seen this one yet. |
| 8 | The Last Performance | (1929) | Haven’t seen this one yet. |
| 9 | The Man Who Laughs | (1928) | Haven’t seen this one yet. |
| 10 | The Last Warning | (1928) | Haven’t seen this one yet. |
| 11 | The Mysterious Dr. Fu Manchu | (1929) | Haven’t seen this one yet. |
| 12 | The Return of Dr. Fu Manchu | (1930) | Haven’t seen this one yet. |
| 13 | The Cat Creeps | (1930) | Haven’t seen this one yet. |
| 14 | La voluntad del muerto | (1930) | Haven’t seen this one yet. |
| 15 | Dracula | (1931) | I have watched this one. |
| 16 | Drácula | (1931) | Haven’t seen this one yet. |
| 17 | Murder by the Clock | (1931) | Haven’t seen this one yet. |
| 18 | Daughter of the Dragon | (1931) | Haven’t seen this one yet. |
| 19 | Frankenstein | (1931) | I have watched this one. |
| 20 | Murders in the Rue Morgue | (1932) | Haven’t seen this one yet. |
| 21 | The Miracle Man | (1932) | Haven’t seen this one yet. |
| 22 | The Old Dark House | (1932) | Haven’t seen this one yet. |
| 23 | Island of Lost Souls | (1932) | Haven’t seen this one yet. |
| 24 | The Mummy | (1932) | Haven’t seen this one yet. |
| 25 | Murders in the Zoo | (1933) | Haven’t seen this one yet. |
| 26 | Terror Aboard | (1933) | Haven’t seen this one yet. |
| 27 | Supernatural | (1933) | Haven’t seen this one yet. |
| 28 | Secret of the Blue Room | (1933) | Haven’t seen this one yet. |
| 29 | White Woman | (1933) | Haven’t seen this one yet. |
| 30 | The Invisible Man | (1933) | Haven’t seen this one yet. |
| 31 | Death Takes a Holiday | (1934) | Haven’t seen this one yet. |
| 32 | The Witching Hour | (1934) | Haven’t seen this one yet. |
